1	他离开克雷姆斯多久了？	克雷姆斯的粮秣够吗？
0	是拉丁文圣经旧约诗篇》第五十一篇中的话。	指《旧约诗篇》的作者大卫王。
0	这是个男的，慢慢把脑袋朝我拧过来，浓眉下一双闪亮灰眼睛细细审视我一番，严肃的男低音问道:她个子很小，几岁了？	他因为那根柱子是个男人慢慢地朝我站着的地方转过头来，好奇的灰色眼睛在一对浓密的眉毛下闪闪发亮，他打量着我，用一种低音严肃他说道:她个儿矮小；有多大了？
0	正如斯特恩所说的:良心呵，你跟我有什么关系？	斯特恩所说:良心呵，你跟我有什么关系我亲爱的，如果良心睡着，就让它继续睡下去，如果良心醒着，就让它醒着难受一会儿吧。
1	虽然我们知道，我们没有能力进行补救，我们也知道，我们和城堡惟一很有希望的联系就是通过索提尼，他是父亲的顶头上司，对父亲也有好感，但是由于已发生的事使我们无法再去找他，尽管如此，我们还是这样去做。	当然，我们知道，我们这样做，是与事无补的，而且我们也知道，我们跟城堡唯一可能有的联系也只有通过索尔蒂尼，他是爸爸的上司，而且称赞过爸爸的，然而，因为发生了这次事件已经断绝了，不过我们还是全力以赴。
1	她的女婢玛莎说着，几乎赶不上她。	小姐！小姐！您要把脚弄湿啦，她的侍女玛莎对她说，几乎赶不上她。
1	那么一来，你就可以有一个当州议员的父亲，还可以有一个和滑雪冠军订婚的妹妹。	有一个当州议员的父亲和一个同滑雪冠军订了婚的妹妹也并没有多大的意义。
0	他是被犯罪造成的喜欢沉思的人。	犯罪是一种游戏。
0	只有一些梦境，可以支离破碎、模糊隐约地描述一下，而在我非得回顾我一生中这个时期不可的时候，我仿佛也就是重温这样的梦境。	当我强迫自己回顾这一切时，有如回顾一个梦，其中许多梦境只能支离破碎地描述。
1	涅斯维茨基看见走在他身旁的一个皮肤有点发黑的骠骑兵军官的滑稽动作，勉强忍住才没有笑出声来。	涅斯维茨基被一个在他旁边走着的黑脸膛的骠骑军官逗得忍不住要笑。
0	萨尔古塞和罪恶是一回事。	卡特琳显然是个萨尔古塞女妖。
1	所以认为理性灵魂来源于父亲，只不过是认为灵魂并非永生的，而是随肉体毁灭的而已。	柏拉图认为人有一个肉体的灵魂和一个不朽的灵魂。
1	很好。可是在你们的下面还有东西存在——也仵应诙说是在你们的上面。	算了。但是，在你们下面还有一些东西。
0	看到过白鲸吗？	你们看到白鲸了吗？
0	鹤嘴锄落下来的时候，几乎从他的手里滑了出来。	鹤嘴锄落下来时，几乎是从他的手里滑下来的。
1	大小正好呢！老兄，帽子——这是服装中顶重要的东西，一种自我介绍。	老兄，帽子，在一个人的服装中是最要紧的一件东西，是一种自我介绍。
1	即使一个以全部身家财产作赌注拚死一博的赌徒，其所经验过的痛苦，也不会象爱德蒙这时徘徊在希望的边缘上所感到的那样剧烈。	即使是一个以全部家财作赌注拚死一博的赌徒，其所经验过的痛苦，恐怕也不会象爱德蒙这时徘徊在希望的边缘上所感到的那样剧烈。
1	现在，戈尔戈纳在他的右边，皮亚诺扎在他的左边，他是在向巴奥里和拿破仑的故乡前进。	船启航了，爱德蒙又在这蔚蓝的大海上破浪前进，这是他青年时代活动的天地，在狱中常常让他魂牵梦萦，他把戈尔戈纳抛到右边，把皮阿诺扎岛抛到左边，向保利和拿破仑的故土前进。
0	对不起，对不起；当然，要让卡捷娜伊万诺芙娜理解，那是相当困难的；不过您是不是知道，黎已经在进行认真的试骑了，试验单用合乎逻辑地劝说的办法，是不是有可能治好疯子？	请原谅，请原谅；要使卡杰琳娜伊凡诺夫娜理解，当然是困难的；您可知道，在巴黎已经认真地进行着治疗疯子的试验？
1	那那可怎么办？	现在怎么办呢？
